Tanggal & Waktu,ID Struk,Tipe Penjualan,Nama Pelanggan,Nama Produk,Kategori,Jumlah Produk,Harga Produk,Metode Pembayaran
29-06-2024 22:05:50,QDLVSLGQKPJWY,dinein,Lt 2.. RAUSAN,Sweet Toast Bomb Tiramisu,Dessert,1,"17,000",non-tunai
29-06-2024 22:05:50,QDLVSLGQKPJWY,dinein,Lt 2.. RAUSAN,Choco Diagram,Signature drinks,1,"20,000",non-tunai
29-06-2024 22:05:50,QDLVSLGQKPJWY,dinein,Lt 2.. RAUSAN,Creamy cherry,Non Coffee,1,"20,000",non-tunai
29-06-2024 22:05:50,QDLVSLGQKPJWY,dinein,Lt 2.. RAUSAN,Orange Dynamic,Non Coffee,1,"20,000",non-tunai
29-06-2024 22:05:50,QDLVSLGQKPJWY,dinein,Lt 2.. RAUSAN,Fettuccine Carbonara,Spaghetti,2,"30,000",non-tunai
29-06-2024 22:05:50,QDLVSLGQKPJWY,dinein,Lt 2.. RAUSAN,Sweet Toast Bomb Strawberry,Dessert,1,"17,000",non-tunai
29-06-2024 22:05:50,QDLVSLGQKPJWY,dinein,Lt 2.. RAUSAN,Honey ginger with lemongrass,Coffee,1,"22,000",non-tunai
29-06-2024 20:43:19,ZVLYFRMB8QY7Z,dinein,ANI.. LT 2,Platter Diagram,Light Meal,1,"46,000",tunai
29-06-2024 20:32:59,D84KHVY4JKBK4,onlineorder,D84KHVY4JKBK4,Fettuccine Carbonara,Spaghetti,1,"30,000",non-tunai
29-06-2024 20:32:59,D84KHVY4JKBK4,onlineorder,D84KHVY4JKBK4,Matcha Latte - Ice,Non Coffee,1,"18,000",non-tunai
29-06-2024 20:32:41,QDLVSLGQK6DQ6,onlineorder,QDLVSLGQK6DQ6,Matcha Latte - Ice,Non Coffee,2,"18,000",non-tunai
29-06-2024 20:32:41,QDLVSLGQK6DQ6,onlineorder,QDLVSLGQK6DQ6,Shot espresso,Additional,1,"8,000",non-tunai
29-06-2024 20:08:01,NL9GHR49LW4KL,takeaway,NL9GHR49LW4KL,Kopi susu diagram - Creamy,Coffee,2,"20,000",non-tunai
29-06-2024 19:46:53,7B4RFJNM7GLBV,dinein,lt 2,Kopi susu diagram - Creamy,Coffee,1,"20,000",tunai
29-06-2024 19:46:53,7B4RFJNM7GLBV,dinein,lt 2,Honey ginger with lemongrass,Coffee,1,"22,000",tunai
29-06-2024 19:46:53,7B4RFJNM7GLBV,dinein,lt 2,Jelly Spanish Latte,Coffee,1,"22,000",tunai
29-06-2024 19:46:53,7B4RFJNM7GLBV,dinein,lt 2,Choco Hazelnut,Non Coffee,1,"20,000",tunai
29-06-2024 19:46:53,7B4RFJNM7GLBV,dinein,lt 2,Tofu Salt n Pepper,Light Meal,1,"20,000",tunai
29-06-2024 19:43:08,BMV8HGQB64V6V,dinein,lt2,Beef Katsu Curry,Curry,1,"45,000",non-tunai
29-06-2024 19:43:08,BMV8HGQB64V6V,dinein,lt2,Urban Coffee Herbs,Coffee,1,"22,000",non-tunai
29-06-2024 19:43:08,BMV8HGQB64V6V,dinein,lt2,Tea - Hot,Tea,1,"10,000",non-tunai
29-06-2024 19:34:20,NL9GHR49LWRRL,dinein,lt2,Beef Black pepper,Teriyaki Rice,1,"35,000",non-tunai
29-06-2024 19:34:20,NL9GHR49LWRRL,dinein,lt2,Hazelnut Machiato - Ice,Coffee,1,"22,000",non-tunai
29-06-2024 19:27:26,P7WL2PJL6ZWWN,dinein,lt2,Omurice Chicken Curry,KATSU,1,"45,000",tunai
29-06-2024 19:07:52,NL9GHR49L99KD,dinein,lt2,Matcha Latte - Hot,Non Coffee,1,"18,000",non-tunai
29-06-2024 19:02:46,YBMWF8RLQLGRZ,takeaway,PAK LUCKY,Kampung Fried Rice - Pedas,Fried Rice & Noodle,1,"20,000",non-tunai
29-06-2024 19:02:46,YBMWF8RLQLGRZ,takeaway,PAK LUCKY,Sausage French Fries,Light Meal,1,"27,500",non-tunai
29-06-2024 19:01:23,4QBY2PZK4KWDG,dinein,lt2,Hazelnut Machiato - Ice,Coffee,1,"22,000",non-tunai
29-06-2024 18:44:23,YBMWF8RLQL668,onlineorder,YBMWF8RLQL668,Beef Teriyaki,Teriyaki Rice,1,"35,000",non-tunai
29-06-2024 18:39:40,WP9KCMKL6LVWG,dinein,jeni,Mie Kalkulus,MEE TIME,1,"16,000",tunai
29-06-2024 18:21:43,D84KHVY4J4NW6,dinein,REY . LT 2,Mie Desain Grafis,MEE TIME,1,"17,000",tunai
